id,name,buySummary,sellSummary
0,"Kemmer, Schulist and Wilkinson",Temporibus possimus porro.,Corporis iusto reiciendis est.
1,"Kozey, Tremblay and Schmidt",Et et dolorem et aut nemo.,Velit enim ut reprehenderit corporis.
2,Thiel LLC,Provident excepturi neque sint non ut autem aspernatur et.,Vero eum maiores nam.
3,Adams - Crooks,Hic doloremque deserunt.,Consequatur dicta qui ut voluptate nisi soluta eum esse dicta.
4,Gislason and Sons,Dolor nesciunt ut aut labore in ratione non commodi odio.,Perspiciatis laboriosam adipisci quis ad id nam laudantium tempora.
5,Bogan LLC,Ipsam id impedit similique ut debitis sit est cupiditate maiores.,Itaque consectetur aut quam.
6,"Cummings, Carter and Emard",Voluptatum facere sit accusamus accusantium voluptatibus eligendi.,Id voluptatem voluptate qui fugiat deserunt.
7,Raynor Group,Fugit saepe eos saepe iure sequi nihil asperiores.,Optio aspernatur dolorum labore aut doloremque.
8,Rempel LLC,Et ratione beatae.,Placeat aut officia ipsa odio consequatur consequatur velit.
9,Hamill - Wyman,Non consectetur rerum incidunt voluptas.,Odit quisquam est voluptatum ipsam libero voluptatem.
10,"Schiller, Spinka and Quitzon",Eveniet consequuntur dolores quis commodi autem ea aspernatur aut.,Iure dolor sit voluptatibus.
11,"Thiel, Fadel and Mohr",Non ut autem et molestiae aut dolor minus temporibus sint.,Cupiditate aspernatur iusto.
12,Turcotte - Bernhard,Non exercitationem provident maiores ut aperiam.,Pariatur repellat aut ipsa.
13,Pagac - Bailey,Fuga ut cupiditate.,Rerum molestias tempora architecto possimus tempora atque deserunt eligendi mollitia.
14,Beahan - Wuckert,Quidem eaque voluptatem officiis.,Soluta autem soluta provident.
15,Greenholt - Welch,Ut iusto vel eligendi facere.,Culpa velit qui voluptas et.
16,Braun Group,Maiores laudantium sapiente.,Iure eos et nostrum beatae.
17,"Feeney, Murphy and Gaylord",Quia nihil commodi ut sit et vel odio iure pariatur.,Aut quo quae eligendi ad minima eius velit dicta neque.
18,Bechtelar Inc,Necessitatibus et deleniti non ut debitis eius asperiores ut accusantium.,Natus ducimus natus ab.
19,Klocko - Marvin,Molestias aut dolorum asperiores consequatur vel quae.,Commodi dolorum error dolores quia quas qui harum praesentium enim.
20,"Sawayn, Steuber and Kessler",Cumque at quia dolorem.,Voluptatem rem architecto.
21,"Effertz, Ratke and O''Connell",Corrupti repudiandae aut.,Reprehenderit facilis adipisci.
22,"Von, Pfannerstill and Berge",Eligendi voluptates deserunt placeat corporis itaque explicabo aperiam quia dignissimos.,Delectus dolores ducimus aut.
23,"Hyatt, Medhurst and Kovacek",Laboriosam nobis quo et sit.,Voluptatem non iusto ipsa.
24,Stark - O''Connell,Nihil quos voluptatem et officiis in odio.,Dicta eos non.
25,"Marquardt, Turner and Armstrong",Et fugiat perferendis voluptas.,Debitis dignissimos eos sed non quis omnis maiores.
26,Lesch - Klein,Excepturi et beatae qui qui atque eos provident qui.,Facere cupiditate dolor molestiae est cupiditate qui natus eveniet.
27,Homenick - Wilderman,Nobis non qui officia labore rerum nam.,Labore aut quaerat id rerum quam dolore delectus.
28,"Kozey, Mante and Koepp",Dolor voluptas vero ut culpa quisquam libero.,Dolor ducimus eum delectus at dicta veniam mollitia.
29,Fritsch Group,Sint ducimus sequi illo nihil temporibus eius.,Et eos omnis quos itaque tempora aut nam ducimus earum.
30,Kling - Rath,Voluptatibus ut provident delectus impedit expedita voluptatum veritatis nesciunt harum.,Culpa autem voluptas facilis accusantium.
31,"Little, Brakus and Keebler",Hic reprehenderit laborum voluptatem.,Quo aut est impedit.
32,"Wolf, Crooks and Larson",Amet iusto incidunt eveniet.,Est sit exercitationem fugiat magni distinctio voluptas velit.
33,"Reichel, Keeling and Hyatt",Nihil provident et aspernatur voluptatem nisi ipsam.,Saepe eum rerum quis quod ut sed quidem rerum.
34,Armstrong Inc,Quaerat et dolores.,Est vero nesciunt ut voluptatem tenetur magni.
35,Schowalter and Sons,Cupiditate omnis aut impedit voluptatibus et.,Commodi aspernatur nesciunt qui voluptas odit commodi molestias reiciendis veniam.
36,Hegmann Inc,Et omnis dolorem.,Error excepturi temporibus ipsum sint enim nostrum cumque commodi.
37,"Dietrich, Purdy and Dooley",Quia rerum exercitationem.,Eos vel omnis minus omnis dignissimos nam voluptatem.
38,Skiles LLC,Quis ullam enim quo consequatur voluptatem nesciunt exercitationem.,Reiciendis debitis dolorum alias assumenda aut libero sunt eos.
39,"Metz, Hilpert and Mertz",Nihil eligendi ex vel non similique numquam iusto laborum tenetur.,Omnis ut vel voluptates ipsa ut corrupti.
40,Batz Inc,Voluptates odit dignissimos ipsam.,Impedit consequatur repellendus animi quisquam placeat excepturi dicta consequatur aliquam.
41,Reynolds Inc,Fugiat quis cum.,Inventore omnis autem.
42,"Padberg, Waelchi and Rempel",Eligendi qui voluptas est quis alias ab qui.,Debitis omnis voluptas exercitationem porro excepturi illum ut.
43,Zieme - Aufderhar,Expedita omnis eveniet rerum similique esse quis et alias omnis.,Porro vero ratione.
44,"Kessler, Kautzer and Bode",Debitis est dolorem.,Sed ex consequatur labore aliquam saepe facilis.
45,"Greenholt, Bode and Gibson",Nihil vel eaque maxime nesciunt voluptatem quisquam.,Eligendi vel facere eum vel ut.
46,Ortiz Inc,Fugiat vitae dolores quia.,Recusandae dolore et nemo.
47,"Kautzer, Leuschke and Ritchie",Eveniet iste amet impedit quis qui doloribus natus deserunt.,Ipsa quae ea cumque.
48,Stanton - Murphy,Eaque ipsum quia omnis aut adipisci.,Provident voluptatem enim rerum quo repellendus quibusdam sint.
49,O''Conner - Grady,Labore voluptates inventore aperiam error.,Ipsam ut facere rerum omnis temporibus.
50,"Waters, Jaskolski and Schmitt",Veniam quia voluptas.,Dolor omnis reiciendis nesciunt minima nesciunt ipsa temporibus ut.
51,Gleason Inc,Libero vitae deserunt.,Eum dolor voluptas ab.
52,Rau - Jacobi,Aliquid sit facilis sint qui non est corrupti minima ut.,Ipsam et ratione voluptatem corrupti eos nihil facilis necessitatibus.
53,Hettinger LLC,Placeat neque et.,Assumenda rem numquam ea nisi quo.
54,"Feil, Nicolas and Graham",Consequuntur voluptas voluptas repudiandae culpa temporibus velit repellat dicta.,Doloribus accusamus quia quia et voluptatem.
55,"Little, Barrows and Runolfsdottir",Recusandae nihil sit.,Consequatur qui suscipit aliquid cum autem.
56,Smith - Zulauf,Nostrum quia excepturi mollitia aut dignissimos dicta distinctio ad quo.,Et magnam aut ea non ipsam necessitatibus adipisci.
57,"Reilly, Ullrich and Bruen",Suscipit in quia temporibus odit eum et voluptatem.,Unde voluptate tenetur et temporibus saepe iste eius sed.
58,Predovic LLC,At qui et reiciendis cupiditate amet illum excepturi commodi.,Similique dolor eaque similique quis.
59,Kirlin - Reilly,Doloremque suscipit eveniet quia voluptate eaque corrupti veniam et amet.,Distinctio et minus vel non dolorum.
60,"Barrows, Feeney and Robel",Harum quibusdam dolorem odio dolor est debitis dolor velit.,Ea illo exercitationem ad esse architecto praesentium corrupti neque.
61,Nienow Inc,Nihil voluptatem voluptas temporibus est occaecati qui perspiciatis sunt ipsum.,Illum porro autem ea architecto molestiae rem ratione modi incidunt.
62,"VonRueden, Maggio and Predovic",Quam ipsa totam.,Ut inventore exercitationem aut aut ea voluptatem nihil officiis placeat.
63,Bradtke Inc,Eos adipisci veniam quas aut soluta aut enim illum quo.,Labore voluptas voluptatem et est iusto delectus consequatur porro voluptates.
64,Daniel - O''Conner,Eos porro ratione voluptas dicta ducimus omnis amet voluptate et.,Quis in in minus.
65,Towne LLC,Et facilis fuga.,Et maxime ut qui eum perferendis perspiciatis quia quia dolor.
66,Smitham LLC,Quisquam quam repellendus ipsum officia assumenda.,Officia modi cumque voluptatem quaerat enim aut libero vel.
67,Adams and Sons,Ratione aperiam ipsam pariatur eligendi.,Dolores qui delectus aut commodi.
68,"Boyer, Hauck and Crist",Vel et deserunt.,Magnam et aut qui omnis dolor nobis et rem facilis.
69,"Gutmann, Hessel and Jenkins",Reiciendis consectetur esse soluta et voluptates voluptatem fugiat illum.,Debitis quasi temporibus assumenda in vel voluptas.
70,Schuster - Moen,Et enim laudantium ducimus similique illum neque est non et.,Et deserunt vel.
71,"Predovic, Baumbach and Jakubowski",Aut cupiditate accusamus illo veniam.,Autem dicta in pariatur non.
72,Hodkiewicz Group,Neque eos occaecati dolor perferendis.,A distinctio tempora sint et fuga consequatur quisquam unde.
73,Littel LLC,Rerum eius pariatur tempore dolorem tenetur inventore magni animi.,Et distinctio quod consectetur veritatis nihil quae rerum.
74,"Kiehn, Marks and Murazik",Dicta et voluptate architecto autem ut quaerat neque quis.,Voluptatem dolor provident veniam assumenda ratione.
75,Turner Inc,Totam odio enim quia numquam beatae ut aut necessitatibus.,Aliquam dolorem sequi eligendi.
76,"Erdman, Boehm and Ryan",Autem aperiam ipsa at consequatur suscipit ut laboriosam eum.,A repellendus quo voluptatem corrupti qui dignissimos sunt.
77,Russel Group,Voluptas quo ea fugiat exercitationem.,Sapiente a illum.
78,Treutel - Kautzer,Unde dicta aut.,Et autem eius iure neque quibusdam voluptate.
79,"Kling, Kreiger and Lowe",Ut quod atque rerum doloribus.,Est quisquam voluptatibus autem illo dicta adipisci in neque ea.
80,"Leuschke, Wintheiser and O''Reilly",Distinctio ut quidem iste fuga optio earum.,Debitis dicta voluptatem.
81,Weber Group,Minima itaque consectetur libero inventore quia modi consectetur sit dolor.,Sint quis quia est magnam.
82,"Jenkins, Prohaska and Blanda",Deleniti qui magnam modi tempore voluptates nihil asperiores.,Et quae commodi.
83,Fahey - O''Reilly,Commodi unde dicta odio dolor illo natus ea.,Autem animi illum quasi deleniti eius perspiciatis quo minima.
84,Stehr - Schaefer,Velit dolorum doloremque vitae quo ducimus perferendis et accusamus.,Dignissimos pariatur aut eveniet amet.
85,"O''Conner, Hand and Grady",Vero distinctio nihil et.,Beatae quidem nam itaque dolorum recusandae vel dolore cupiditate fuga.
86,O''Hara - Becker,Dolores eaque perspiciatis.,Et necessitatibus odit atque est vitae et rem nostrum et.
87,"Stehr, Gutkowski and Rau",Nobis qui suscipit molestias repellendus qui est facilis numquam illo.,Vel rerum veniam provident necessitatibus qui eligendi in inventore.
88,O''Reilly Inc,Beatae quam est consequatur quae iste iure quae.,Dicta veritatis tempore ipsam quaerat porro.
89,Miller - Hilll,Inventore sit tempore reiciendis molestiae.,Et natus quo ut nulla.
